id,artist,title,year,medium,dimensions,object_id,file_name
38,"Arndt, Thomas Frederick","Friend's at Dennis and Mary Sellner's 25th Wedding Anniversary Dance, Legion Hall, Morgan, Minnesota, from the "Farm Families"" project"",1985,"Gelatin silver print","image: 12 3/16 in x 18 1/4 in; mat: 22 in x 28 in; paper: 16 in x 20 in",1995:687,1995_687.jpg
39,"Ciurej, Barbara; Lochman, Lindsay","Wendy's and Water Tank, from Changing Chicago",1987,"Gelatin silver print","paper: 11 in x 14 in",1995:450,1995_450.jpg
40,"Ciurej, Barbara; Lochman, Lindsay","Wendy's and Water Tank, from Changing Chicago",1987,"Gelatin silver print","paper: 11 in x 14 in",1995:450,1995_450.jpg
41,Leideitchikov,"Untitled (weeds, fence, machinery)",1989,"Gelatin silver print","image: 6 1/2 in x 8 1/2 in; mat: 12 in x 16 in; paper: 6 3/4 in x 9 1/4 in",2008:423,2008_423.jpg
42,"Slyusarev, Alexander","Untitled (phone booth)",1982,"Gelatin silver print","image: 7 1/2 in x 7 1/2 in; mat: 16 in x 12 in; paper: 10 in x 8 in",2008:422,2008_422.jpg
43,"Hurrell, George","Clark Gable, from the "George Hurrell"" portfolio"",1932,"Gelatin silver print","image: 18 13/16 in x 15 9/16 in; mat: 24 in x 20 in; paper: 19 15/16 in x 16 1/8 in",1981:149.6,1981_149_6.JPG
44,"Hurrell, George","Rita Hayworth, from the "George Hurrell"" portfolio"",1941,"Gelatin silver print","image: 15 5/8 in x 19 7/8 in; paper: 15 15/16 in x 19 3/8 in",1981:149.8,"1981_149_8 copy.jpg"
45,"Hurrell, George","Katherine Hepburn, from the "George Hurrell"" portfolio"",1941,"Gelatin silver print","image: 15 5/8 in x 18 13/16 in; mat: 24 in x 20 in; paper: 19 15/16 in x 16 1/8 in",1981:149.9,"1981_149_9 copy.jpg"
46,"Hurrell, George","Loretta Young and Tyrone Power, from the "George Hurrell"" portfolio"",1937,"Gelatin silver print","image: 18 13/16 in x 15 1/2 in; paper: 20 in x 16 in",1981:149.10,"1981_149_10 copy.jpg"
47,"Lyon, Danny","82 Beekman, Cast Iron Front",n.d.,"Gelatin silver print","paper: 11 3/16 in x 7 1/2 in",1989:3,1989_3.jpg
48,"Crane, Barbara","People of the North Portal",1970-1971,"Gelatin silver print","paper: 23 1/2 in x 19 1/4 in",1986:232.150,1986_232_150.JPG
49,"Crane, Barbara","People of the North Portal",1970-1971,"Gelatin silver print","paper: 19 1/2 in x 15 1/2 in",1986:232.155,1986_232_155.JPG
50,"Crane, Barbara","People of the North Portal",1970,"Gelatin silver print","paper: 23 3/4 in x 19 3/4 in",1986:232.158,1986_232_158.JPG
51,"Lyon, Danny","Uptown Chicago, from the "Danny Lyon"" portfolio"","1965, portfolio 1979","Gelatin silver print","image: 9 3/4 in x 9 3/4 in; paper: 11 in x 14 in",1983:125.2,1983_125_2.JPG
52,"Lyon, Danny","Showers, from "Conversations with the Dead"""","1967-1969, printed c.1980","Gelatin silver print","paper: 14 in x 11 in","1988:37.6 DEACCESSIONED",1988_37_6.JPG
53,"Lyon, Danny","Uptown, Chicago, from the "Danny Lyon"" portfolio"","1965, portfolio 1979","Gelatin silver print","image: 8 3/4 in x 13 in; paper: 11 in x 14 in",1983:125.3,1983_125_3.jpg
54,"Lyon, Danny","Uptown, Chicago, from the "Danny Lyon"" portfolio"","1965, portfolio 1979","Gelatin silver print","image: 8 3/4 in x 13 in; paper: 11 in x 14 in",1983:125.3,83_125_3.jpg
55,"Teemer, Jack","Baltimore, From "Color Photographs"" Portfolio"","1980, portfolio 1985","Chromogenic development print","paper: 11 in x 14 in",1986:2,1986_02.jpg
56,"Heinecken, Robert","Untitled #2, text "Random Harvest"," by Lynn McLanahan Herbert"," from Recto/Verso portfolio"","1988, portfolio 1989","Silver dye bleach print","image: 8 5/16 in x 7 3/4 in; paper: 11 in x 14 in"
57,"Heinecken, Robert","Untitled #3, text "A Taste of Spring"," by Susie Choen"," from Recto/Verso portfolio"","1988, portfolio 1989","Silver dye bleach print","overall: 14 in x 11 in"
58,"Heinecken, Robert","Untitled #4, Text "Untitled"," by Irene Borger"," from Recto/Verso portfolio"","1988, portfolio 1989","Silver dye bleach print","overall: 14 in x 11 in"
59,"Heinecken, Robert","Untitled #12, Text "Recto/Verso"" by James Enyeart"," from Recto/Verso portfolio"","1988, portfolio 1989","Silver dye bleach print","overall: 14 in x 11 in",1989:165.12
60,"Heinecken, Robert","Untitled #6, Text "Untitled"," by Joyce Fernandes"," from Recto/Verso portfolio"","1988, portfolio 1989","Silver dye bleach print","overall: 14 in x 11 in"
61,"Schmelling, Michael","Untitled (Philip, New Douglas Il)",2013,"Chromogenic development print","overall: 70 in x 48 in",2015:273,2015_273.jpg
62,"Heinecken, Robert","Untitled #8, Text "After Heinecken"" by Andy Grundberg and Julia Scully"," from Recto/Verso Portfolio"","1988, portfolio 1989","Silver dye bleach print","image: 10 3/8 in x 8 1/8 in; paper: 14 in x 11 in",1989:165.8
63,"Heinecken, Robert","Untitled #9, Text "Something Fishy"" by Bill Jay"," from Recto/Verso Portfolio"","1988, portfolio 1989","Silver dye bleach print","overall: 14 in x 11 in",1989:165.9
64,"Schmelling, Michael","Untitled (Nathan)",2013,"Chromogenic development print","overall: 70 in x 48 in",2015:274,2015_274.jpg
65,"Schmelling, Michael","Untitled (Chicago Poster #13)",2014,"Inkjet print","frame: 21 in x 17 in x 1 1/4 in; paper: 20 in x 16 in",2015:275,2015_275.jpg
66,"Heinecken, Robert","Untitled #10, Text "Correspondences"" by Mark Johnstone"," from Recto/Verso Portfolio"","1988, portfolio 1989","Silver dye bleach print","overall: 14 in x 11 in",1989:165.10
67,"Heinecken, Robert","Untitled #11, Text "Untitled"," by A.D. Coleman"," from Recto/Verso Portfolio"","1988, portfolio 1989","Silver dye bleach print","overall: 14 in x 11 in"
68,"Walker, Todd","Untitled, from the "Todd Walker"" Portfolio"","n.d.; portfolio 1978","Screen print","image: 7 1/4 in x 4 7/8 in; paper: 13 in x 10 in",1981:184.5,1981_184_5.jpg
69,"Friedlander, Lee","Washington, D.C.",1973,"Gelatin silver print","image: 7 7/16 in x 11 11/16 in; mat: 16 in x 20 in; paper: 11 in x 14 in",1982:54,1982_54.jpg
70,"Walker, Todd","Untitled, from the "Todd Walker"" Portfolio"","n.d., portfolio 1978","Screen print","image: 5 1/2 in x 8 1/2 in; paper: 10 in x 13 in",1981:184.6,1981_184_6.jpg
71,"Walker, Todd","Untitled, from the "Todd Walker"" Portfolio"","n.d., portfolio 1978","Screen print","image: 4 3/4 in x 7 1/2 in; paper: 10 in x 13 in",1981:184.7,1981_184_7.jpg
72,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" Portfolio"","1964, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.71,1982_64_71.JPG
73,"Walker, Todd","Untitled, from the "Todd Walker"" Portfolio"","n.d., portfolio 1978","Screen print","image: 7 1/4 in x 5 in; paper: 13 in x 10 in",1981:184.9,1981_184_9.jpg
74,"Walker, Todd","Untitled, from the "Todd Walker"" Portfolio"","n.d., portfolio 1978","Screen print","image: 5 1/2 in x 8 1/8 in; paper: 10 in x 13 in",1981:184.10,1981_184_10.jpg
75,"Kezys, Algimantas","Spectator, New York, New York, from the "Society's Man"" portfolio"","1964, portfolio 1962 - 1969","Gelatin silver print","paper: 24 in x 20 in",1983:34.1,1983_34_1.JPG
76,"Lyon, Danny","Jack, Chicago, from the "Danny Lyon"" portfolio"","1965-1966, portfolio 1979","Gelatin silver print","image: 13 in x 8 3/4 in; paper: 14 in x 11 in",1983:125.7,1983_125_7.JPG
77,"Kezys, Algimantas","Companions, Paris, France, from the "Society's Man"" portfolio"","n.d., portfolio 1962 - 1969","Gelatin silver print","image: 20 1/4 in x 17 1/2 in; paper: 24 in x 20 in",1983:34.3,1983_34_3.JPG
78,"Lyon, Danny","Scrambles track, McHenry, Illinois, from the "Danny Lyon"" portfolio"","1966, portfolio 1979","Gelatin silver print","image: 10 in x 10 in; paper: 11 in x 14 in",1983:125.5,1983_125_5.JPG
79,"Kezys, Algimantas","Figure and Squares, Toronto, Ontario, from the "Society's Man"" portfolio"","1969, portfolio 1962 - 1969","Gelatin silver print","image: 21 in x 17 7/16 in; paper: 24 in x 20 in",1983:34.5,1983_34_5.JPG
80,"Kezys, Algimantas","Courtyard, Paris, France, from the "Society's Man"" portfolio"","1962, portfolio 1962 - 1969","Gelatin silver print","image: 17 3/8 in x 21 in; paper: 20 in x 24 in",1983:34.6,1983_34_6.JPG
81,"Lyon, Danny","Route 12, Wisconsin, from the "Danny Lyon"" portfolio"","1963, portfolio 1979","Gelatin silver print","image: 8 3/4 in x 13 in; paper: 11 in x 14 in",1983:125.4,1983_125_4.JPG
82,"Kezys, Algimantas","Profile, Heidelberg, West Germany, from the "Society's Man"" portfolio"","1967, portfolio 1962 - 1969","Gelatin silver print","image: 17 3/4 in x 17 3/8 in; paper: 24 in x 20 in",1983:34.8,1983_34_8.JPG
83,"Kezys, Algimantas","Reflected Image, Chicago, Illinois, from the "Society's Man"" portfolio"","1968, portfolio 1962 - 1969","Gelatin silver print","image: 18 in x 17 13/16 in; paper: 24 in x 24 in",1983:34.9,1983_34_9.JPG
84,"Kezys, Algimantas","Among Park Benches, Bellville Illinois, from the "Society's Man"" portfolio"","1969, portfolio 1962 - 1969","Gelatin silver print","image: 17 1/4 in x 20 3/4 in; mat: 22 in x 28 in; paper: 20 in x 24 in",1983:34.10,1983_34_10.JPG
85,"Kezys, Algimantas",""Society's Man"" portfolio"","n.d., portfolio 1962 - 1969","Gelatin silver print","paper: 20 in x 24 in",1983:34.1-10,1983_34_1-10.JPG
86,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","1968; portfolio 1981","Gelatin silver print","image: 13 1/8 in x 8 3/4 in; paper: 14 in x 11 in",1982:64.1,1982_64_1.JPG
87,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.3,1982_64_3.JPG
88,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.4,1982_64_4.JPG
89,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.5,1982_64_5.JPG
90,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.6,1982_64_6.JPG
91,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.7,1982_64_7.JPG
92,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.8,1982_64_8.JPG
93,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.9,1982_64_9.JPG
94,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.11,1982_64_11.JPG
95,"Blinder, James","Untitled, from the "Project 2"" portfolio"","n.d., portfolio 1972","Gelatin silver print","paper: 6 1/4 in x 4 1/4 in",1985:476.18,1985_476_18.JPG
96,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.12,1982_64_12.JPG
97,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970; portfolio 1981","Gelatin silver print","image: 13 1/8 in x 8 3/4 in; paper: 14 in x 11 in",1982:64.14,1982_64_14.JPG
98,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 13 1/8 in x 8 3/4 in; paper: 14 in x 11 in",1982:64.30,1982_64_30.JPG
99,"Winogrand, Garry","World's Fair, New York, , from the "Women are Beautiful"" portfolio"","1964; printed 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.20,1982_64_20.jpg
100,"Van Vechten, Carl","James Baldwin, from the "O"," Write My Name - American Portraits of Harlem Heroes"" portfolio"",1955,Photogravure,"overall: 22 1/4 in x 14 in",1985:513
101,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.18,1982_64_18.JPG
102,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.19,1982_64_19.JPG
103,"Witherspoon, Richard","Untitled, from the "Project 2"" portfolio"","n.d., portfolio 1972","Gelatin silver print","paper: 4 1/8 in x 6 1/8 in",1985:476.16,1985_476_16.JPG
104,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.21,1982_64_21.jpg
105,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.22,1982_64_22.JPG
106,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.23,1982_64_23.JPG
107,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.24,1982_64_24.JPG
108,"Traub, Charles H.","Untitled, from the "Project 2"" portfolio"","n.d., portfolio 1972","Gelatin silver print","paper: 7 1/2 in x 9 1/2 in",1985:476.12,1985_476_12.JPG
109,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.34,1982_64_34.JPG
110,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.27,1982_64_27.JPG
111,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.28,1982_64_28.JPG
112,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.29,1982_64_29.JPG
113,"Alvarez Bravo, Manuel","La Vista, from the "Manuel Alvarez Bravo"" portfolio"","1935; portfolio 1977","Gelatin silver print","image: 6 9/16 in x 9 5/16 in; paper: 8 in x 10 in",1982:295.5,1982_295_5.JPG
114,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 13 1/8 in x 8 3/4 in; paper: 14 in x 11 in",1982:64.31,1982_64_31.JPG
115,"Thorsen, Lindell","Untitled, from the "Project 2"" portfolio"","n.d., portfolio 1972","Gelatin silver print","paper: 4 3/4 in x 7 in",1985:476.14,1985_476_14.JPG
116,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.33,1982_64_33.JPG
117,"Steiner, Ralph",Untitled,n.d.,"Gelatin silver print","paper: 4 1/8 in x 3 1/8 in",1989:107,1989_107.jpg
118,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.35,1982_64_35.JPG
119,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.40,1982_64_40.JPG
120,"Steiner, Ralph",Untitled,n.d.,"Gelatin silver print","paper: 4 5/8 in x 3 5/8 in",1989:108,1989_108.jpg
121,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.38,1982_64_38.JPG
122,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.39,1982_64_39.JPG
123,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 13 1/8 in x 8 3/4 in; paper: 14 in x 11 in",1982:64.42,1982_64_42.JPG
124,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.45,1982_64_45.JPG
125,"Steiner, Ralph",Untitled,n.d.,"Gelatin silver print","paper: 4 3/4 in x 2 3/4 in",1989:111,1989_111.jpg
126,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","1968; portfolio 1981","Gelatin silver print","image: 13 1/8 in x 8 3/4 in; paper: 14 in x 11 in",1982:64.43,1982_64_43.JPG
127,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.44,1982_64_44.JPG
128,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.51,1982_64_51.JPG
129,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.59,1982_64_59.JPG
130,"Thorne-Thomsen, Ruth","Untitled, from the "Project 2"" portfolio"","n.d., portfolio 1972","Gelatin silver print","paper: 5 1/4 in x 7 7/16 in",1985:476.13,1985_476_13.JPG
131,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.48,1982_64_48.JPG
132,"Soluri, Tony","Untitled, from the "Project 2"" portfolio"","n.d., portfolio 1972","Gelatin silver print","paper: 5 1/4 in x 7 3/4 in",1985:476.9,1985_476_9.JPG
133,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.50,1982_64_50.JPG
134,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.63,1982_64_63.jpg
135,"Steiner, Ralph",Untitled,n.d.,"Gelatin silver print","paper: 2 3/8 in x 3 11/16 in",1989:114,1989_114.jpg
136,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.53,1982_64_53.JPG
137,"Winogrand, Garry","Untitled, from the "Women are Beautiful"" portfolio"","c. 1970, portfolio 1981","Gelatin silver print","image: 8 3/4 in x 13 1/8 in; paper: 11 in x 14 in",1982:64.54,1982_64_54.JPG
138,"Perraud, Steve","Untitled, from the "Project 2"" portfolio"","n.d., portfolio 1972","Gelatin silver print","paper: 4 1/4 in x 6 1/2 in",1985:476.8,1985_476_8.JPG
